	Length	Tokens	Unique Tokens	Avg Token Length	Entities	Unique Entities	Avg Entity Length	Density	B-PER	I-PER	B-LOC	I-LOC	B-ORG	I-ORG	B-MISC	I-MISC	O
11	24	['$UNK$', 'started', 'his', 'u.n.', 'career', 'in', '$NUM$', 'and', 'has', 'long', 'experience', 'in', 'u.n.', 'emergency', 'relief', 'in', 'congo', ',', 'angola', ',', 'sudan', 'and', 'somalia', '.']	1	4.333333333333333	['$UNK$', 'u.n.', 'u.n.', 'congo', 'angola', 'sudan', 'somalia']	1	5.142857142857143	29.166666666666668	0	0	4	0	2	0	0	0	17
12	5	['houston', '$NUM$', 'st', 'louis', '$NUM$']	0	4.8	['houston', 'st', 'louis']	0	4.666666666666667	60.0	0	0	0	0	2	1	0	0	2
13	12	"['winners', 'on', 'the', 'european', 'tour', 'after', 'sunday', ""'s"", 'german', 'open', '(', 'britain']"	0	4.583333333333333	['european', 'tour', 'german', 'open', 'britain']	0	5.8	41.66666666666667	0	0	1	0	0	0	2	2	7
14	7	['cycling', '-', 'world', 'track', 'championship', 'results', '.']	0	5.428571428571429	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	7
15	37	['the', 'mariners', 'scored', 'four', 'runs', 'in', 'the', 'top', 'of', 'the', 'fifth', 'to', 'tie', 'the', 'game', '5-5', 'but', 'ripken', 'led', 'off', 'the', 'bottom', 'of', 'the', 'inning', 'with', 'his', '21st', 'homer', 'off', 'starter', 'sterling', 'hitchcock', '(', '12-6', ')', '.']	2	3.864864864864865	['mariners', 'ripken', 'sterling', 'hitchcock']	1	7.75	10.81081081081081	2	1	0	0	1	0	0	0	33
16	7	['mid-tier', 'golds', 'up', 'in', 'heavy', 'trading', '.']	2	4.285714285714286	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	7
17	2	['bonn', '$UNK$']	0	4.5	['bonn']	0	4.0	50.0	0	0	1	0	0	0	0	0	1
18	9	['soccer', '-', 'summary', 'of', 'german', 'first', 'division', 'match', '.']	0	4.555555555555555	['german']	0	6.0	11.11111111111111	0	0	0	0	0	0	1	0	8
19	2	['ankara', '$UNK$']	0	5.5	['ankara']	0	6.0	50.0	0	0	1	0	0	0	0	0	1
20	7	['soccer', '-', 'portuguese', 'first', 'division', 'results', '.']	0	5.428571428571429	['portuguese']	0	10.0	14.285714285714285	0	0	0	0	0	0	1	0	6
21	36	['in', 'a', 'lengthy', 'debate', 'on', 'burundi', 'before', 'the', 'u.n.', 'security', 'council', ',', 'ambassador', 'nsanze', 'terence', 'said', 'the', 'new', 'military', 'government', 'took', 'over', 'to', 'stabilise', 'the', 'country', 'and', 'wanted', 'negotiations', 'under', 'former', 'tanzanian', 'president', 'julius', '$UNK$', '.']	1	5.444444444444445	['burundi', 'u.n.', 'security', 'council', 'nsanze', 'terence', 'tanzanian', 'julius', '$UNK$']	1	6.555555555555555	25.0	2	1	1	0	1	2	1	0	27
22	13	['standings', '(', 'tabulated', 'under', 'played', ',', 'won', ',', 'drawn', ',', 'lost', ',', 'goals']	0	3.923076923076923	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	13
23	12	['$UNK$', '-', 'golf', ':', 'norman', 'sacks', 'his', 'coach', 'after', 'disappointing', 'season', '.']	1	4.583333333333333	['$UNK$', 'norman']	0	5.5	16.666666666666664	1	0	0	0	0	0	0	0	10
24	12	['the', 'guitarist', 'died', 'of', 'a', 'drugs', 'overdose', 'in', '$NUM$', 'aged', '$NUM$', '.']	2	4.083333333333333	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	12
25	36	['after', 'appearing', 'as', 'a', 'pinch-hitter', 'in', 'the', 'previous', 'two', 'games', ',', 'bonds', ',', 'who', 'has', 'been', 'battling', 'a', 'hamstring', 'injury', ',', 'did', 'not', 'see', 'any', 'action', 'today', ',', 'ending', 'his', 'streak', 'at', '$NUM$', 'consecutive', 'games', '.']	0	4.305555555555555	['bonds']	0	5.0	2.7777777777777777	1	0	0	0	0	0	0	0	35
26	9	['az', 'alkmaar', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	4.888888888888889	['az', 'alkmaar']	0	4.5	22.22222222222222	0	0	0	0	1	1	0	0	7
27	23	"['it', 'was', 'the', 'first', 'known', 'time', 'that', 'a', 'police', 'officer', 'has', 'been', 'president', 'at', 'the', 'suicide', 'of', 'one', 'of', 'kevorkian', ""'s"", 'patients', '.']"	0	4.130434782608695	['kevorkian']	0	9.0	4.3478260869565215	1	0	0	0	0	0	0	0	22
28	39	['peiris', ',', '$NUM$', ',', 'of', 'perth', ',', 'was', 'sentenced', 'in', 'the', 'western', 'australian', 'district', 'court', 'to', 'two', 'years', 'in', 'jail', 'for', 'fraud', 'after', 'trading', 'three', 'pairs', 'of', 'impostor', 'birds', 'for', '$NUM$', 'parrots', 'worth', 'a', 'total', 'of', 'a$', '28,000', '.']	1	4.256410256410256	['peiris', 'perth', 'western', 'australian', 'a$']	0	6.0	12.82051282051282	1	0	1	0	0	0	2	1	34
29	2	['irene', '$UNK$']	1	5.0	['irene', '$UNK$']	1	5.0	100.0	1	0	0	0	0	0	0	0	0
30	24	"['the', 'way', 'he', 'was', 'chipping', 'and', 'charging', 'and', 'serving', 'and', 'volleying', 'i', 'did', ""n't"", 'really', 'get', 'my', 'timing', 'playing', 'from', 'the', 'baseline', '.', '""']"	1	4.166666666666667	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	24
31	22	"['$UNK$', 'peace', 'talks', 'have', 'been', 'deadlocked', 'over', 'the', 'golan', 'since', '$NUM$', 'despite', 'the', 'previous', 'government', ""'s"", 'willingness', 'to', 'make', 'golan', 'concessions', '.']"	0	5.409090909090909	['$UNK$', 'golan', 'golan']	0	5.0	13.636363636363635	0	0	2	0	0	0	0	0	19
32	9	['gks', 'belchatow', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	5.222222222222222	['gks', 'belchatow']	0	6.0	22.22222222222222	0	0	0	0	1	1	0	0	7
33	7	['two', 'dead', 'in', 'cambodia', 'helicopter', 'crash', '.']	0	4.714285714285714	['cambodia']	0	8.0	14.285714285714285	0	0	1	0	0	0	0	0	6
34	20	"['""', 'but', 'there', 'is', 'a', 'significant', 'influence', 'of', 'opposition', 'parties', 'that', 'are', 'collecting', 'points', 'ahead', 'of', 'coming', 'elections', '.', '""']"	0	4.9	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	20
35	19	"['throughout', 'the', 'group', ',', 'higher', 'paper', 'prices', 'increased', 'costs', 'by', 'over', 'us$', '$NUM$', 'million', ',', '""', 'it', 'said', '.']"	0	4.2105263157894735	['us$']	0	3.0	5.263157894736842	0	0	0	0	0	0	1	0	18
36	11	"['nicolas', 'lapentti', '(', 'ecuador', ')', 'vs.', 'alex', ""o'brien"", '(', 'u.s.', ')']"	0	4.0	"['nicolas', 'lapentti', 'ecuador', 'alex', ""o'brien"", 'u.s.']"	0	6.166666666666667	54.54545454545454	2	2	2	0	0	0	0	0	5
37	3	['aegon', '83.40', 'paribas']	1	5.666666666666667	['aegon', 'paribas']	0	6.0	66.66666666666666	0	0	0	0	2	0	0	0	1
38	14	['he', 'added', 'chiron', 'corp', 'reported', 'its', 'sales', 'of', 'inventory', 'to', 'berlex', 'was', 'down', '.']	1	4.285714285714286	['chiron', 'corp', 'berlex']	0	5.333333333333333	21.428571428571427	0	0	0	0	2	1	0	0	11
39	7	['$UNK$', 'dionne', 'rose', '(', 'jamaica', ')', '12.88']	1	4.142857142857143	['dionne', 'rose', 'jamaica']	0	5.666666666666667	42.857142857142854	1	1	1	0	0	0	0	0	4
40	22	['davenport', 'had', 'drawn', 'one', 'of', 'the', 'toughest', 'first-round', 'assignments', 'of', 'any', 'of', 'the', 'seeded', 'players', 'in', '$UNK$', 'karina', 'habsudova', 'of', 'slovakia', '.']	1	5.045454545454546	['davenport', 'karina', 'habsudova', 'slovakia']	0	8.0	18.181818181818183	2	1	1	0	0	0	0	0	18
41	9	['brazil', 'police', 'arrest', 'wanted', 'italian', 'man', '-', 'report', '.']	0	4.666666666666667	['brazil', 'italian']	0	6.5	22.22222222222222	0	0	1	0	0	0	1	0	7
42	33	['gloria', 'bistrita', '(', 'romania', ')', 'beat', '2-1', '(', 'halftime', '1-1', ')', 'f.c.', 'valletta', '(', 'malta', ')', 'in', 'their', 'cup', 'winners', 'cup', 'match', ',', 'second', 'leg', 'of', 'the', 'preliminary', 'round', ',', 'on', 'thursday', '.']	0	3.9393939393939394	['gloria', 'bistrita', 'romania', 'f.c.', 'valletta', 'malta', 'cup', 'winners', 'cup']	0	5.666666666666667	27.27272727272727	0	0	2	0	2	2	1	2	24
43	4	"['constructors', ""'"", 'championship', ':']"	1	6.5	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	4
44	16	['neville', 'godwin', '(', 'south', 'africa', ')', 'beat', 'tomas', 'carbonell', '(', 'spain', ')', '6-4', '6-2', '3-6', '6-1']	2	3.9375	['neville', 'godwin', 'south', 'africa', 'tomas', 'carbonell', 'spain']	2	6.142857142857143	43.75	2	2	2	1	0	0	0	0	9
45	15	['the', 'broader', '$UNK$', 'index', 'closed', '1.19', 'points', 'or', '0.08', 'percent', 'lower', 'at', '$UNK$', 'points', '.']	1	4.533333333333333	['$UNK$']	0	5.0	6.666666666666667	0	0	0	0	0	0	0	0	14
46	2	['$NUM$', '610,000']	1	6.0	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	2
47	52	"['mccurry', 'said', 'that', 'when', 'clinton', 'delivers', 'his', 'acceptance', 'address', 'on', 'thursday', 'night', 'to', 'fellow', 'democrats', 'and', 'a', 'national', 'television', 'audience', ',', 'he', 'will', '""', 'set', 'out', 'a', 'road', 'map', '""', 'for', 'the', 'nation', ""'s"", 'future', '--', 'one', 'the', 'president', 'hopes', 'guides', 'him', 'back', 'to', 'the', 'white', 'house', 'for', 'four', 'more', 'years', '.']"	2	4.346153846153846	['mccurry', 'clinton', 'democrats', 'white', 'house']	0	6.6	9.615384615384617	2	0	1	1	0	0	1	0	47
48	22	"['gore', 'ridiculed', 'dole', ""'s"", 'defense', 'of', 'the', 'tobacco', 'industry', ',', 'praised', 'clinton', 'for', '""', 'courage', '""', 'in', 'advancing', 'regulations', 'of', 'it', '.']"	2	4.545454545454546	['gore', 'dole', 'clinton']	0	5.0	13.636363636363635	3	0	0	0	0	0	0	0	19
49	5	['volume', 'was', '$UNK$', 'contracts', '.']	0	4.8	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	5
50	15	['rishon', '-', 'moshe', 'sabag', '(', '10th', 'minute', ')', ',', 'nissan', '$UNK$', '(', '26th', ')', ',']	3	3.2	['rishon', 'moshe', 'sabag', 'nissan', '$UNK$']	3	5.4	33.33333333333333	2	1	0	0	1	0	0	0	10
51	2	['american', 'league']	0	7.0	['american', 'league']	0	7.0	100.0	0	0	0	0	0	0	1	1	0
52	7	['mushtaq', 'ahmed', 'c', 'crawley', 'b', 'mullally', '$NUM$']	0	4.857142857142857	['mushtaq', 'ahmed', 'crawley', 'mullally']	0	6.75	57.14285714285714	3	1	0	0	0	0	0	0	3
53	7	['$UNK$', 'gabriele', 'colombo', '(', 'italy', ')', '$NUM$']	1	4.571428571428571	['gabriele', 'colombo', 'italy']	1	6.666666666666667	42.857142857142854	1	1	1	0	0	0	0	0	4
54	6	['philadelphia', '$NUM$', '$NUM$', '.402', '$NUM$', '1/2']	1	5.666666666666667	['philadelphia']	0	12.0	16.666666666666664	0	0	0	0	1	0	0	0	5
55	16	"['the', 'statement', 'from', 'morris', 'said', 'that', 'he', 'had', 'submitted', 'his', 'resignation', 'on', 'wednesday', 'night', '.', '""']"	0	4.75	['morris']	0	6.0	6.25	1	0	0	0	0	0	0	0	15
56	24	['he', 'said', 'growth', 'in', 'customer', 'demand', 'in', 'the', 'first', 'half', 'was', '$NUM$', 'percent', 'above', 'normal', 'but', 'it', 'was', 'hard', 'to', 'maintain', 'this', 'pace', '.']	0	4.125	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	24
57	14	"['""', 'it', ""'s"", 'not', 'unfortunate', ',', 'it', ""'s"", 'incompetent', ',', '""', 'he', 'declared', '.']"	0	3.4285714285714284	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	14
58	25	['the', 'suit', 'contends', 'america', 'online', 'was', 'misappropriating', 'nba', 'property', 'by', 'providing', 'a', 'site', 'containing', 'continually', 'updated', 'scores', 'and', 'statistics', 'of', 'nba', 'games', 'in', 'progress', '.']	3	5.68	['america', 'online', 'nba', 'nba']	0	4.75	16.0	0	0	0	0	3	1	0	0	21
59	11	['1.', 'ana', 'fidelia', 'quirot', '(', 'cuba', ')', '$NUM$', 'minute', '58.98', 'seconds']	4	4.2727272727272725	['ana', 'fidelia', 'quirot', 'cuba']	3	5.0	36.36363636363637	1	2	1	0	0	0	0	0	7
60	5	['houston', '$NUM$', '$NUM$', '.534', '-']	0	4.4	['houston']	0	7.0	20.0	0	0	0	0	1	0	0	0	4
61	26	['chang', 'committed', 'an', 'untidy', '$NUM$', 'unforced', 'errors', ',', 'though', 'he', 'made', 'seven', 'fewer', 'than', 'the', 'brazilian', ',', 'who', 'also', 'walloped', 'a', 'woeful', '$NUM$', 'double', 'faults', '.']	4	4.653846153846154	['chang', 'brazilian']	0	7.0	7.6923076923076925	1	0	0	0	0	0	1	0	24
62	34	['dark', 'northern', 'spring', 'and', 'white', 'wheat', 'bids', 'were', 'mostly', 'steady', 'on', 'tuesday', 'but', 'a', 'few', 'locations', 'quoted', 'weaker', 'values', 'as', 'newly', 'harvested', 'spring', 'wheat', 'flooded', 'the', 'market', ',', 'several', 'cash', 'grain', 'dealers', 'said', '.']	0	4.882352941176471	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	34
63	3	['new', 'york', '$UNK$']	0	4.0	['new', 'york']	0	3.5	66.66666666666666	0	0	1	1	0	0	0	0	1
64	9	['odra', '$UNK$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	4.888888888888889	['odra', '$UNK$']	0	4.5	22.22222222222222	0	0	0	0	1	0	0	0	7
65	8	['press', 'digest', '-', 'lebanon', '-', 'aug', '$NUM$', '.']	0	3.625	['lebanon']	0	7.0	12.5	0	0	1	0	0	0	0	0	7
66	8	['paris', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	5.0	['paris']	0	5.0	12.5	0	0	0	0	1	0	0	0	7
67	9	['tennis', '-', 'martinez', 'gets', 'aggressive', 'at', 'u.s.', 'open', '.']	0	4.444444444444445	['martinez', 'u.s.', 'open']	0	5.333333333333333	33.33333333333333	1	0	0	0	0	0	1	1	6
68	31	"['nocerina', ""'s"", '4-3', 'defeat', 'of', 'piacenza', 'was', 'also', 'subject', 'to', 'a', 'complaint', ',', 'later', 'removed', ',', 'that', 'forced', 'their', 'second', 'round', 'match', 'against', 'serie', 'a', 'newcomers', 'perugia', 'to', 'be', 'delayed', '.']"	1	4.548387096774194	['nocerina', 'piacenza', 'serie', 'a', 'perugia']	1	5.8	16.129032258064516	0	0	0	0	3	0	1	1	26
69	12	['tennis', '-', 'edberg', 'extends', 'grand', 'slam', 'run', ',', 'topples', 'wimbledon', 'champ', '.']	2	4.583333333333333	['edberg', 'wimbledon']	0	7.5	16.666666666666664	1	0	1	0	0	0	0	0	10
70	3	['oakland', 'at', 'baltimore']	0	6.0	['oakland', 'baltimore']	0	8.0	66.66666666666666	0	0	1	0	1	0	0	0	1
71	22	"['""', 'we', 'only', 'realised', 'after', 'voting', 'that', 'we', 'were', 'being', 'denied', 'the', 'rights', 'of', 'other', 'bosnian', 'moslems', 'to', 'choose', 'our', 'president', '.']"	0	4.454545454545454	['bosnian', 'moslems']	0	7.0	9.090909090909092	0	0	0	0	0	0	1	1	20
72	6	['ceska', 'sporitelna', '$UNK$', '$UNK$', '$NUM$', '$UNK$']	2	5.833333333333333	['ceska', 'sporitelna']	2	7.5	33.33333333333333	0	0	0	0	1	1	0	0	4
73	4	['w', 'l', 'pct', 'gb']	0	1.75	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	4
74	21	['similar', 'results', 'had', 'been', 'obtained', 'previously', 'in', 'test-tube', 'cell', 'cultures', ',', 'but', 'not', 'in', 'live', 'animals', ',', 'the', 'university', 'said', '.']	1	4.809523809523809	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	21
75	2	['boston', '$UNK$']	0	5.5	['boston']	0	6.0	50.0	0	0	1	0	0	0	0	0	1
76	36	"['stansted', 'has', 'been', 'designated', 'as', 'the', 'preferred', 'option', 'for', 'handling', 'hijackings', 'in', 'southern', 'england', 'because', 'it', 'is', 'more', 'remote', 'than', 'heathrow', 'and', 'gatwick', ',', 'london', ""'s"", 'two', 'major', 'airports', ',', 'and', 'handles', 'less', 'air', 'traffic', '.']"	1	4.916666666666667	['stansted', 'england', 'heathrow', 'gatwick', 'london']	0	7.2	13.88888888888889	0	0	5	0	0	0	0	0	31
77	2	['helsinki', '$UNK$']	0	6.5	['helsinki']	0	8.0	50.0	0	0	1	0	0	0	0	0	1
78	4	['buyers', 'sellers', 'last', 'prev']	1	5.25	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	4
79	6	['seattle', '$NUM$', '$NUM$', '.515', '$NUM$', '1/2']	0	4.833333333333333	['seattle']	0	7.0	16.666666666666664	0	0	0	0	1	0	0	0	5
80	3	['new', 'york', '$UNK$']	0	4.0	['new', 'york']	0	3.5	66.66666666666666	0	0	1	1	0	0	0	0	1
81	8	['pohang', '$NUM$', 'chonbuk', '$NUM$', '(', 'halftime', '0-0', ')']	0	4.5	['pohang', 'chonbuk']	0	6.5	25.0	0	0	0	0	2	0	0	0	6
82	18	['another', 'four', 'people', 'were', 'also', 'questioned', 'at', 'the', 'weekend', 'but', 'had', 'not', 'been', 'detained', ',', 'bourlet', 'added', '.']	0	4.555555555555555	['bourlet']	0	7.0	5.555555555555555	1	0	0	0	0	0	0	0	17
83	7	['mohammad', 'akram', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '71.00']	1	5.428571428571429	['mohammad', 'akram']	0	6.5	28.57142857142857	1	1	0	0	0	0	0	0	5
84	3	['(', '1-1', ')']	0	1.6666666666666667	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	3
85	8	['-', 'bch', 'in', 'the', 'hive', 'of', 'chilean', 'pensions']	2	3.75	['bch', 'chilean']	1	5.0	25.0	0	0	0	0	1	0	1	0	6
86	5	['2.', 'lombardi', '$NUM$', 'second', 'behind']	0	5.4	['lombardi']	0	8.0	20.0	1	0	0	0	0	0	0	0	4
87	21	['the', 'second', 'round', 'was', 'the', 'entry', 'point', 'for', 'the', 'bulk', 'of', 'the', 'serie', 'a', 'sides', 'with', 'the', 'winners', 'going', 'through', '.']	0	3.9523809523809526	['serie', 'a']	0	3.0	9.523809523809524	0	0	0	0	0	0	1	1	19
88	2	['london', '$UNK$']	0	5.5	['london']	0	6.0	50.0	0	0	1	0	0	0	0	0	1
89	20	"['the', 'festival', ""'s"", 'fame', 'has', 'grown', 'and', 'now', 'attracts', 'between', '15,000', 'and', '20,000', 'people', ',', 'many', 'of', 'them', 'foreigners', '.']"	0	4.45	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	20
90	2	['japan', '$UNK$']	0	5.0	['japan']	0	5.0	50.0	0	0	1	0	0	0	0	0	1
91	17	['daoud', 'said', 'books', 'by', 'other', 'authors', ',', 'including', 'british', 'journalist', 'patrick', 'seale', ',', 'were', 'also', 'banned', '.']	1	4.882352941176471	['daoud', 'british', 'patrick', 'seale']	1	6.0	23.52941176470588	2	1	0	0	0	0	1	0	13
92	12	['these', 'are', 'the', 'leading', 'stories', 'in', 'the', 'tunisian', 'press', 'on', 'monday', '.']	0	4.333333333333333	['tunisian']	0	8.0	8.333333333333332	0	0	0	0	0	0	1	0	11
93	8	['montpellier', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	5.75	['montpellier']	0	11.0	12.5	0	0	0	0	1	0	0	0	7
94	18	"['two', 'civilians', 'were', 'killed', 'in', 'the', 'iraqi', 'bombing', ',', '""', 'irna', 'quoted', 'the', 'radio', 'report', 'as', 'saying', '.']"	0	4.111111111111111	['iraqi', 'irna']	0	4.5	11.11111111111111	0	0	0	0	1	0	1	0	16
95	2	['belgrade', '$UNK$']	0	6.5	['belgrade']	0	8.0	50.0	0	0	1	0	0	0	0	0	1
96	8	['the', 'league', 'season', 'starts', 'on', 'september', '$NUM$', '.']	0	4.75	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	8
97	8	['$UNK$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	5.0	['$UNK$']	0	5.0	12.5	0	0	0	0	0	0	0	0	7
98	36	"['""', 'but', 'before', 'going', ',', 'i', 'would', 'have', 'big', 'signs', 'put', 'up', 'in', 'all', 'government', 'offices', ',', 'those', 'to', 'do', 'with', 'justice', ',', 'in', 'all', 'sectors', ',', 'with', 'the', 'ten', 'commandments', ',', '""', 'he', 'added', '.']"	0	3.5555555555555554	['ten', 'commandments']	0	7.5	5.555555555555555	0	0	0	0	0	0	1	1	34
99	8	['lancashire', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	5.625	['lancashire']	0	10.0	12.5	0	0	0	0	1	0	0	0	7
100	23	['he', 'has', 'since', 'named', 'a', 'prime', 'minister', 'for', 'the', 'first', 'time', 'since', 'early', 'in', 'his', 'rule', 'and', 'ordered', 'a', 'crackdown', 'on', 'corruption', '.']	0	4.173913043478261	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	23
101	8	['(', 'millions', 'of', 'guilders', 'unless', 'otherwise', 'stated', ')']	0	5.125	[]	0	-1.0	0.0	0	0	0	0	0	0	0	0	8
102	26	"['a', 'gunman', 'being', 'hunted', 'on', 'auckland', ""'s"", 'north', 'shore', 'was', 'captured', 'by', 'police', 'just', 'after', '$NUM$', 'a.m.', 'on', 'tuesday', ',', 'new', 'zealand', 'press', 'association', 'reported', '.']"	1	4.6923076923076925	['auckland', 'north', 'shore', 'new', 'zealand', 'press', 'association']	0	6.285714285714286	26.923076923076923	0	0	2	1	1	3	0	0	19
103	9	['aston', 'villa', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	5.0	['aston', 'villa']	0	5.0	22.22222222222222	0	0	0	0	1	1	0	0	7
104	6	['french', 'shares', 'end', 'fractionally', 'weaker', '.']	0	5.666666666666667	['french']	0	6.0	16.666666666666664	0	0	0	0	0	0	1	0	5
105	7	['nigeria', 'would', 'not', 'refuse', 'commonwealth', 'officials', '.']	0	6.142857142857143	['nigeria', 'commonwealth']	0	9.5	28.57142857142857	0	0	1	0	1	0	0	0	5
106	4	['brann', '$NUM$', 'start', '$NUM$']	0	5.0	['brann', 'start']	0	5.0	50.0	0	0	0	0	2	0	0	0	2
107	8	['--', 'dimitris', 'kontogiannis', ',', 'athens', 'newsroom', '$UNK$', '$UNK$']	0	5.875	['dimitris', 'kontogiannis', 'athens', 'newsroom']	0	8.5	50.0	1	1	0	0	1	1	0	0	4
108	45	['according', 'to', 'a', 'new', 'release', 'from', 'the', 'governor', ',', 'wisconsin', 'submitted', 'a', 'plan', 'to', 'the', 'u.s.', 'department', 'of', 'health', 'and', 'human', 'services', 'for', 'administration', 'of', 'the', 'new', 'block', 'grant', 'system', 'for', 'welfare', 'just', 'minutes', 'after', 'president', 'bill', 'clinton', 'signed', 'the', 'measure', 'into', 'law', 'thursday', '.']	0	4.955555555555556	['wisconsin', 'u.s.', 'department', 'of', 'health', 'and', 'human', 'services', 'bill', 'clinton']	0	5.8	22.22222222222222	1	1	1	0	1	6	0	0	35
109	4	['allentown', ',', 'pa', '.']	1	3.25	['allentown', 'pa']	1	5.5	50.0	0	0	2	0	0	0	0	0	2
110	4	['issuer', ':', 'fairview', 'town']	0	4.75	['fairview', 'town']	0	6.0	50.0	0	0	1	1	0	0	0	0	2
111	2	['madrid', '$UNK$']	0	5.5	['madrid']	0	6.0	50.0	0	0	1	0	0	0	0	0	1
112	23	['$UNK$', 'all-rounders', 'nicky', 'boje', 'and', 'derek', 'crookes', 'replace', 'pollock', 'and', 'adams', ',', 'while', 'gibbs', 'comes', 'in', 'for', 'his', 'western', 'province', 'colleague', 'kallis', '.']	1	5.130434782608695	['nicky', 'boje', 'derek', 'crookes', 'pollock', 'adams', 'gibbs', 'western', 'province', 'kallis']	0	5.9	43.47826086956522	6	2	0	0	1	1	0	0	13
